latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
39.34415,-123.22811,334.9,0.4,0.37,2017-10-09,1015,N,VIIRS,n,1,289.4,6.7,0
39.34334,-123.22347,367,0.4,0.37,2017-10-09,1015,N,VIIRS,h,1,304.6,46.9,0
39.34164,-123.23379,327.6,0.4,0.37,2017-10-09,1015,N,VIIRS,n,1,292.1,78.1,0
39.34081,-123.22904,333.8,0.4,0.37,2017-10-09,1015,N,VIIRS,n,1,326.4,78.1,0
39.33999,-123.22441,367,0.4,0.37,2017-10-09,1015,N,VIIRS,h,1,351.8,95.1,0
39.35335,-123.2225,351.2,0.75,0.77,2017-10-09,1957,N,VIIRS,n,1,297.2,45.6,0
39.34589,-123.24518,340,0.75,0.77,2017-10-09,1957,N,VIIRS,n,1,293.3,44.7,0
39.34016,-123.26253,354.4,0.75,0.77,2017-10-09,1957,N,VIIRS,n,1,293.7,123.2,0
39.34219,-123.24414,367,0.75,0.77,2017-10-09,1957,N,VIIRS,h,1,306.5,41.1,0
39.34969,-123.22176,331.3,0.75,0.77,2017-10-09,1957,N,VIIRS,n,1,298.1,80.9,0
39.34024,-123.24995,347.5,0.75,0.77,2017-10-09,1957,N,VIIRS,n,1,295.5,41.1,0
39.34127,-123.27026,367,0.75,0.77,2017-10-09,1957,N,VIIRS,h,1,291.7,123.8,0
39.35685,-123.22377,355.8,0.75,0.77,2017-10-09,1957,N,VIIRS,n,1,294.9,80.9,0
39.34045,-123.24205,367,0.41,0.45,2017-10-09,2137,N,VIIRS,h,1,331,71.3,0
39.34095,-123.23668,351.2,0.41,0.45,2017-10-09,2137,N,VIIRS,n,1,307.8,71.3,0
39.34357,-123.25377,367,0.41,0.45,2017-10-09,2137,N,VIIRS,h,1,334.6,146.4,0
39.34153,-123.2756,367,0.41,0.45,2017-10-09,2137,N,VIIRS,h,1,344.6,102.4,0
39.3411,-123.28023,367,0.41,0.45,2017-10-09,2137,N,VIIRS,h,1,341.2,244.7,0
39.34459,-123.24288,353.2,0.41,0.45,2017-10-09,2137,N,VIIRS,n,1,311.2,71.3,0
39.34248,-123.26537,347.3,0.41,0.45,2017-10-09,2137,N,VIIRS,n,1,300.9,100.5,0
39.34198,-123.27071,312.4,0.41,0.45,2017-10-09,2137,N,VIIRS,l,1,314.3,102.4,0
39.35062,-123.22335,347.9,0.41,0.45,2017-10-09,2137,N,VIIRS,n,1,304.5,18.8,0
39.34771,-123.25439,351.8,0.41,0.45,2017-10-09,2137,N,VIIRS,n,1,295.6,16.3,0
39.34569,-123.27602,344.7,0.41,0.45,2017-10-09,2137,N,VIIRS,n,1,289.7,15.7,0
39.34525,-123.28073,344.3,0.41,0.45,2017-10-09,2137,N,VIIRS,n,1,291.3,14.8,0
39.37608,-123.22176,313.5,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,287.4,16.9,0
39.37266,-123.22265,309.7,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,287.4,17.7,0
39.36242,-123.22548,310.2,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,286.9,1.1,0
39.359,-123.22638,312.1,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,288,1.3,0
39.35558,-123.22726,317.8,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,288,1.3,0
39.35492,-123.22228,301.2,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,286.9,1.3,0
39.35461,-123.24668,340.6,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,293.1,4.5,0
39.354,-123.24202,320.4,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,289.7,4.5,0
39.35339,-123.2374,343.1,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,290.8,3.5,0
39.35278,-123.23284,331.5,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,287.8,3.5,0
39.35215,-123.22807,314,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,285.5,1.9,0
39.35118,-123.24755,345.7,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,294.5,4.5,0
39.35057,-123.24288,324.3,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,290.8,4.5,0
39.34872,-123.2289,327.4,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,286.8,1.9,0
39.34934,-123.23359,310.8,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,288.3,3.5,0
39.35083,-123.27171,338.2,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,289.1,13,0
39.3502,-123.26692,341.4,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,289.3,9.1,0
39.34959,-123.26224,334.5,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,290.4,9.1,0
39.34531,-123.2298,322.3,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,286.4,1.6,0
39.34899,-123.25769,309.8,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,288.3,1.1,0
39.34838,-123.25313,305.9,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,288.5,1.1,0
39.34776,-123.24845,310.4,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,289.5,1.1,0
39.34714,-123.24373,303.2,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,288.1,1.1,0
39.34591,-123.2344,309.4,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,288.7,2.5,0
39.34466,-123.22495,312.3,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,284.5,1.6,0
39.34738,-123.27238,348.3,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,293.4,13,0
39.34676,-123.26761,354.1,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,298.3,9.1,0
39.34615,-123.26295,332,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,287.6,9.1,0
39.34554,-123.2584,300.5,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,286.3,1.1,0
39.34371,-123.24458,304,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,287.4,1.1,0
39.34953,-123.27356,332.3,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,289.8,15.6,0
39.34888,-123.26875,367,0.42,0.38,2017-10-10,0956,N,VIIRS,h,1,300.5,15.6,0
39.34825,-123.26405,347.1,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,295.2,3.8,0
39.34393,-123.23167,320.4,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,286.8,2.7,0
39.34764,-123.25949,313.3,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,287.8,3.8,0
39.34704,-123.25497,311.4,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,288.4,1,0
39.34642,-123.25034,309.5,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,288.7,1,0
39.3458,-123.24565,301.8,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,287.9,1.8,0
39.34328,-123.22691,306.1,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,283.3,0.9,0
39.34739,-123.28408,325.9,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,289.3,2.3,0
39.34608,-123.27425,349.5,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,296.4,15.6,0
39.34543,-123.26942,348.9,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,290.5,15.6,0
39.34674,-123.27915,315.4,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,288.1,2.3,0
39.34481,-123.26476,304.9,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,286.3,3.8,0
39.3442,-123.26016,300,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,285.3,3.8,0
39.34359,-123.25564,299.2,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,286,1,0
39.34529,-123.29481,340.1,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,300.4,37.5,0
39.34462,-123.28978,341.8,0.42,0.38,2017-10-10,0956,N,VIIRS,n,1,297,37.5,0
